Team ID,Team,Scores,Goals,One Point Goals,Two Point Goals,Assists,Shots,Shot Pct,Two Point Shots,Two Point Shot Pct,SOG,SOG Pct,Two Point SOG,Groundballs,Turnovers,Caused Turnovers,Faceoff Pct,Faceoffs Won,Faceoffs Lost,Saves,Save Pct,Clean Saves,Clean Save Pct,SAA,Penalties,PIM,Two Point Goals Against,Two Point GAA,Power Plays,Power Play Pct,Power Play Goals,Power Play Shots,Times Short Handed,Penalty Kill Pct,Power Play Goals Against,Passes
ATL,Atlas,137,130,123,7,79,428,0.3037383177570093,44,0.1590909090909091,269,0.6285046728971962,21,355,195,76,0.5622775800711743,158,120,152,0.5714285714285714,,,12,26,17.5,6,,,0.4,10,29,24,0.7916666666666666,5,2046
OUT,Outlaws,131,119,107,12,58,455,0.26153846153846155,70,0.17142857142857143,282,0.6197802197802198,29,321,181,70,0.5076335877862596,133,127,127,0.5474137931034483,,,11.3,30,22,8,,,0.2647058823529412,9,29,24,0.7083333333333334,7,2190
CAN,Cannons,127,115,103,12,63,415,0.27710843373493976,71,0.16901408450704225,258,0.6216867469879518,41,263,156,81,0.4225352112676056,120,162,133,0.5,,,13.8,34,27.5,5,,,0.42105263157894735,8,15,33,0.6363636363636364,12,2050
RED,Redwoods,126,116,106,10,49,445,0.2606741573033708,74,0.13513513513513514,279,0.6269662921348315,40,340,166,76,0.5688405797101449,157,118,119,0.49583333333333335,,,13,28,24,9,,,0.2222222222222222,6,27,25,0.56,11,2186
WAT,Waterdogs,124,118,112,6,59,423,0.2789598108747045,55,0.10909090909090909,278,0.6572104018912529,27,315,167,72,0.4925373134328358,132,133,112,0.5,,,12.7,20,17,15,,,0.2692307692307692,7,25,16,0.625,6,1858
WHP,Whipsnakes,119,112,105,7,53,411,0.2725060827250608,37,0.1891891891891892,267,0.6496350364963503,20,303,170,55,0.5725490196078431,146,107,123,0.5394736842105263,,,10.8,19,12,3,,,0.3888888888888889,7,14,18,0.7222222222222222,5,2148
CHA,Chaos,110,103,96,7,53,413,0.24939467312348668,53,0.1320754716981132,255,0.6174334140435835,33,278,193,57,0.5019455252918288,129,126,154,0.5746268656716418,,,12.5,28,19.5,11,,,0.30434782608695654,7,18,24,0.7083333333333334,7,2011
ARC,Archers,98,92,86,6,53,353,0.26062322946175637,51,0.11764705882352941,219,0.6203966005665722,29,266,192,66,0.31601731601731603,73,155,146,0.5910931174089069,,,11.1,29,19.5,10,,,0.35294117647058826,6,17,25,0.72,7,1791
